----,
DateTime:,      2021/06/11, 11:38:04, 1623422283796,
PIF:,           -616.76,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #00001,
Gain:,           5,    2, 
S/N Ratio:,    34.52,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
  151,     4818.3,     88.597,    1871.080,      0.000,
  152,     5068.3,     87.242,    1898.550,      0.000,
  153,     5330.8,     86.935,    1899.498,      0.000,
  154,     5605.8,     88.481,    1867.009,      0.000,
  155,     5895.8,     87.715,    1881.670,      0.000,
  156,     6200.8,     88.119,    1871.442,      0.000,
  157,     6520.8,     88.934,    1852.028,      0.000,
  158,     6855.8,     88.606,    1857.950,      0.000,
  159,     7208.3,     88.131,    1866.594,      0.000,
  160,     7578.3,     88.106,    1863.950,      0.000,
  161,     7965.8,     88.254,    1860.128,      0.000,
  162,     8373.3,     89.386,    1833.237,      0.000,
  163,     8800.8,     88.713,    1846.408,      0.000,
  164,     9250.8,     90.067,    1818.429,      0.000,
  165,     9723.3,     88.810,    1840.081,      0.000,
  166,    10220.8,     88.561,    1845.800,      0.000,
  167,    10743.3,     89.039,    1832.157,      0.000,
  168,    11290.8,     88.250,    1846.980,      0.000,
  169,    11865.8,     90.019,    1810.272,      0.000,
  170,    12470.8,     89.046,    1826.250,      0.000,
  171,    13105.8,     89.720,    1812.748,      0.000,
  172,    13773.3,     89.565,    1812.917,      0.000,
  173,    14475.8,     89.630,    1809.156,      0.000,
  174,    15213.3,     88.754,    1826.392,      0.000,
  175,    15988.3,     89.188,    1816.374,      0.000,
  176,    16800.8,     89.599,    1805.161,      0.000,
  177,    17655.8,     89.308,    1810.089,      0.000,
  178,    18553.3,     89.752,    1799.515,      0.000,
  179,    19495.8,     89.522,    1802.086,      0.000,
  180,    20485.8,     89.552,    1802.002,      0.000,
  181,    21525.8,     90.442,    1779.204,      0.000,
